,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Date,Time
93,b'13.543',b'2375.90',b'516.04',2026-02-17,08:36:02
94,b'13.538',b'2382.80',b'633.11',2026-02-17,08:36:08
95,b'13.688',b'3385.97',b'569.42',2026-02-17,08:36:12
96,b'14.07',b'2282.86',b'672.47',2026-02-17,08:36:17
97,b'14.382',b'2399.94',b'546.63',2026-02-17,08:36:22
98,b'13.93',b'3396.11',b'708.69',2026-02-17,08:36:26
99,b'13.723',b'2318.86',b'499.78',2026-02-17,08:36:31
100,b'13.644',b'2409.85',b'640.02',2026-02-17,08:36:36
101,b'14.23',b'3120.05',b'625.23',2026-02-17,08:36:41
102,b'14.174',b'2457.06',b'544.86',2026-02-17,08:36:45
103,b'14.099',b'2185.81',b'757.33',2026-02-17,08:36:50
104,b'14.136',b'2434.40',b'674.00',2026-02-17,08:36:54
105,b'13.491',b'2294.84',b'662.41',2026-02-17,08:36:59
106,b'13.663',b'2421.61',b'516.74',2026-02-17,08:37:04
107,b'13.686',b'2253.73',b'510.75',2026-02-17,08:37:09
108,b'13.678',b'2287.98',b'575.92',2026-02-17,08:37:14
109,b'13.922',b'3222.77',b'612.38',2026-02-17,08:37:19
110,b'13.704',b'2392.13',b'619.35',2026-02-17,08:37:23
111,b'13.5',b'2264.34',b'635.28',2026-02-17,08:37:28
112,b'13.858',b'3109.64',b'707.46',2026-02-17,08:37:33
113,b'14.068',b'2370.37',b'683.76',2026-02-17,08:37:37
114,b'13.735',b'2408.31',b'641.94',2026-02-17,08:37:42
115,b'13.702',b'3276.74',b'640.04',2026-02-17,08:37:46
116,b'13.872',b'2309.64',b'642.42',2026-02-17,08:37:51
117,b'13.836',b'2460.42',b'681.68',2026-02-17,08:37:55
118,b'13.661',b'2470.32',b'584.04',2026-02-17,08:38:00
119,b'14.049',b'2168.36',b'689.08',2026-02-17,08:38:05
120,b'13.7',b'2538.57',b'610.42',2026-02-17,08:38:10
121,b'13.702',b'2208.70',b'642.06',2026-02-17,08:38:14
122,b'13.633',b'2261.72',b'577.12',2026-02-17,08:38:19
123,b'13.992',b'3359.51',b'614.57',2026-02-17,08:38:24
124,b'14.193',b'2216.16',b'637.55',2026-02-17,08:38:28
125,b'13.931',b'2269.21',b'620.60',2026-02-17,08:38:33
126,b'14.373',b'3238.93',b'653.77',2026-02-17,08:38:38
127,b'13.73',b'2167.07',b'593.39',2026-02-17,08:38:42
128,b'13.729',b'2372.47',b'605.76',2026-02-17,08:38:47
129,b'13.534',b'3165.20',b'634.82',2026-02-17,08:38:52
130,b'13.654',b'2226.01',b'601.03',2026-02-17,08:38:57
131,b'14.493',b'2212.29',b'658.22',2026-02-17,08:39:02
